student_id,age,gender,campus,program,program_length_yrs,year_enrolled,semester_enrolled,expected_grad_year,enrollment_source,distance_from_campus_km,has_transport,parent_education,has_financial_aid,working_student,attendance_rate_pct,grade_average_pct,courses_failed,warnings_issued,status,at_risk
GTC-00001,38,Male,Main Campus - Gaborone,Diploma in Accounting,2,2023,Semester 1,2025,Radio Ad,62.7,1,None,0,1,61.0,30.0,1,2,Dropped Out,0
GTC-00002,40,Female,Main Campus - Gaborone,Certificate in Auto Mechanics,1,2025,Semester 2,2026,Walk-In,64.6,1,Tertiary,1,1,70.8,54.4,1,1,Active,1
GTC-00003,43,Male,Extension Campus - Mogoditshane,Certificate in Auto Mechanics,1,2025,Semester 1,2026,Agent,7.2,1,Secondary,0,0,85.0,65.5,0,0,Active,0
GTC-00004,26,Female,Extension Campus - Mogoditshane,Certificate in Construction,1,2023,Semester 2,2024,Website Form,18.2,1,None,0,1,69.0,30.0,5,3,Dropped Out,0
GTC-00005,35,Male,Extension Campus - Mogoditshane,Certificate in Construction,1,2023,Semester 1,2024,Walk-In,68.5,1,None,1,0,72.0,46.6,0,2,Graduated,0
GTC-00006,32,Male,Block 8 Campus,Diploma in Engineering,2,2023,Semester 2,2025,Agent,76.4,1,Primary,0,1,59.3,30.0,2,3,Dropped Out,0
GTC-00007,39,Female,Extension Campus - Mogoditshane,Certificate in Business Admin,1,2024,Semester 2,2025,Open Day,45.2,0,None,0,1,49.5,32.4,1,2,Dropped Out,0
GTC-00008,23,Female,Main Campus - Gaborone,Diploma in Accounting,2,2025,Semester 1,2027,Facebook Ad,74.1,1,Primary,1,0,77.9,30.0,2,2,Dropped Out,0
GTC-00009,18,Male,Block 8 Campus,Diploma in Accounting,2,2023,Semester 1,2025,School Fair,74.7,0,None,0,0,61.1,51.0,2,2,Graduated,0
GTC-00010,23,Female,Extension Campus - Mogoditshane,Diploma in Health Sciences,2,2023,Semester 1,2025,Referral,34.2,1,Secondary,1,0,97.5,74.2,1,0,Graduated,0
GTC-00011,25,Male,Main Campus - Gaborone,Diploma in IT,2,2023,Semester 1,2025,Walk-In,73.1,1,Primary,1,0,78.0,33.6,1,1,Dropped Out,0
GTC-00012,33,Female,Main Campus - Gaborone,Certificate in Business Admin,1,2023,Semester 2,2024,Website Form,36.3,1,None,0,0,79.9,50.9,3,1,Dropped Out,0
GTC-00013,24,Female,Main Campus - Gaborone,Diploma in Health Sciences,2,2023,Semester 2,2025,Open Day,21.6,0,Tertiary,0,0,81.2,63.9,0,0,Dropped Out,0
GTC-00014,42,Male,Main Campus - Gaborone,Diploma in Health Sciences,2,2024,Semester 2,2026,School Fair,73.6,0,Primary,1,0,71.7,30.0,3,3,Active,1
GTC-00015,35,Female,Main Campus - Gaborone,Certificate in Hospitality,1,2024,Semester 1,2025,Walk-In,49.4,1,Secondary,1,0,89.8,45.8,4,2,Dropped Out,0
GTC-00016,23,Male,Extension Campus - Mogoditshane,Certificate in Business Admin,1,2025,Semester 1,2026,Agent,10.6,0,Primary,0,1,63.6,36.1,1,2,Dropped Out,0
GTC-00017,39,Female,Main Campus - Gaborone,Diploma in Accounting,2,2024,Semester 1,2026,Referral,39.1,0,None,1,0,70.1,30.0,2,3,Dropped Out,0
