request_id,department,service_type,channel,district,officer_id,submit_date,resolution_date,sla_target_days,actual_days,within_sla,sla_breach_days,escalated,status,complexity,citizen_satisfaction
BPS-01502,Police,Case Registration,Digital,Lobatse,POL-014,2024-01-05,2024-01-07,5,2.8,1,0.0,0,Resolved,1.1,3.9
BPS-02587,Social Welfare,Social Grant,Digital,Serowe,SWL-005,2024-07-22,2024-07-26,21,4.1,1,0.0,0,Resolved,1.0,4.0
BPS-02654,Social Welfare,Social Grant,In-Person,Gaborone,SWL-005,2023-05-19,2023-06-14,21,26.8,0,5.8,0,Resolved,1.0,1.9
BPS-01056,Education,School Admin,In-Person,Lobatse,EDU-003,2022-01-20,2022-01-26,14,6.2,1,0.0,0,Resolved,0.8,3.5
BPS-00706,Health,Medical Certificate,Phone,Francistown,HLT-002,2024-10-15,2024-10-19,7,4.6,1,0.0,0,Resolved,0.8,
BPS-00107,Health,Medical Certificate,Digital,Gaborone,HLT-008,2022-10-23,2022-10-28,7,5.4,1,0.0,0,Resolved,0.8,
BPS-00590,Health,Medical Certificate,In-Person,Molepolole,HLT-005,2022-10-31,2022-11-03,7,3.2,1,0.0,0,Resolved,0.8,4.1
BPS-02469,BURS,Compliance Certificate,In-Person,Maun,BRS-002,2022-05-04,2022-05-12,10,8.3,1,0.0,0,Resolved,0.85,
BPS-02414,BURS,Tax Registration,In-Person,Molepolole,BRS-005,2024-12-12,2024-12-15,10,3.0,1,0.0,0,Resolved,0.9,
BPS-01601,Police,Protection Service,In-Person,Palapye,POL-008,2022-11-09,2022-11-15,5,6.0,0,1.0,0,Resolved,1.3,
BPS-02465,BURS,Compliance Certificate,In-Person,Maun,BRS-007,2022-12-01,2022-12-12,10,11.0,0,1.0,0,Resolved,0.85,
BPS-00229,Health,Specialist Referral,Digital,Francistown,HLT-001,2024-04-26,2024-04-28,7,2.9,1,0.0,0,Resolved,1.2,4.7
BPS-00916,Education,Scholarship Application,In-Person,Serowe,EDU-005,2023-04-25,2023-05-15,14,20.5,0,6.5,1,Resolved,1.4,2.2
BPS-00795,Health,Facility Request,In-Person,Serowe,HLT-011,2023-11-20,2023-11-21,7,1.4,1,0.0,0,Resolved,1.1,4.0
BPS-03022,Social Welfare,Destitute Support,Digital,Serowe,SWL-008,2022-11-15,2022-11-29,21,14.4,1,0.0,0,Resolved,1.3,
BPS-03544,Land Board,Consent to Transfer,Digital,Serowe,LBD-005,2024-05-01,2024-05-27,21,26.4,0,5.4,0,Resolved,1.3,2.4
BPS-01074,Education,School Admin,In-Person,Gaborone,EDU-002,2022-09-16,2022-09-21,14,5.2,1,0.0,0,Resolved,0.8,4.5
BPS-03352,Immigration,Border Documentation,In-Person,Serowe,IMG-004,2022-02-28,2022-03-21,30,21.8,1,0.0,0,Resolved,0.9,3.4
BPS-01745,Police,Document Request,Digital,Francistown,POL-014,2022-07-26,2022-07-28,5,2.8,1,0.0,0,Resolved,0.75,
BPS-01085,Education,Student Enrollment,Digital,Serowe,EDU-004,2024-07-01,2024-07-09,14,8.7,1,0.0,0,Resolved,0.9,4.3
BPS-00927,Education,Student Enrollment,In-Person,Francistown,EDU-007,2022-07-28,2022-08-04,14,7.5,1,0.0,0,Resolved,0.9,3.6
BPS-03050,Social Welfare,Social Grant,In-Person,Lobatse,SWL-004,2022-05-12,2022-06-08,21,27.3,0,6.3,0,Resolved,1.0,2.5
BPS-01118,Education,Teacher Posting,In-Person,Maun,EDU-006,2022-06-11,2022-06-25,14,14.6,0,0.6,0,Resolved,1.3,2.9
BPS-00643,Health,Facility Request,Phone,Serowe,HLT-005,2024-12-11,2024-12-16,7,5.2,1,0.0,0,Resolved,1.1,4.2
BPS-04768,Motor Registry,Driver Licence,In-Person,Lobatse,MTR-001,2022-10-18,2022-10-21,5,3.1,1,0.0,0,Resolved,0.95,
BPS-00502,Health,Patient Query,In-Person,Kanye,HLT-011,2024-07-17,2024-07-25,7,8.0,0,1.0,0,Resolved,0.7,
BPS-04067,Works,Infrastructure Defect,Phone,Francistown,WRK-005,2024-05-21,2024-06-05,14,15.3,0,1.3,0,Resolved,1.2,1.6
BPS-00334,Health,Facility Request,Post,Gaborone,HLT-002,2022-05-19,2022-05-25,7,6.4,1,0.0,0,Resolved,1.1,4.0
BPS-04685,Motor Registry,Vehicle Licensing,Digital,Gaborone,MTR-010,2024-01-23,2024-01-24,5,1.0,1,0.0,0,Resolved,0.9,
BPS-00487,Health,Specialist Referral,In-Person,Francistown,HLT-011,2022-06-04,2022-06-10,7,6.6,1,0.0,0,Resolved,1.2,3.5
BPS-01963,Police,Document Request,In-Person,Maun,POL-007,2022-03-08,2022-03-11,5,3.3,1,0.0,0,Resolved,0.75,4.4
BPS-00394,Health,Medical Certificate,In-Person,Kanye,HLT-007,2023-07-20,2023-07-27,7,7.1,0,0.1,1,Resolved,0.8,2.1
BPS-04843,Motor Registry,Number Plate,Phone,Palapye,MTR-013,2023-11-23,2023-11-26,5,3.9,1,0.0,0,Resolved,0.8,4.2
BPS-04867,Motor Registry,Roadworthy Certificate,Phone,Francistown,MTR-010,2023-10-14,2023-10-17,5,3.6,1,0.0,0,Resolved,1.0,5.0
BPS-01756,Police,Case Registration,In-Person,Lobatse,POL-014,2024-03-08,2024-03-16,5,8.1,0,3.1,0,Resolved,1.1,3.0
