matter_id,practice_area,partner,associate,client_id,client_type,office,open_date,close_date,status,duration_days,actual_hours,recorded_hours,recording_rate,hourly_rate,potential_fees_bwp,billed_fees_bwp,disbursements_bwp,outstanding_bwp,leakage_bwp,satisfaction,year
MLA-0001,Mining & Resources,Partner_Thapelo,Associate_10,CLT-092,Financial Institution,Maun,2020-07-21,2021-04-30,Completed,283,234.8,173.0,0.737,3800,892126.0,657359.0,66920.0,0.0,234767.0,4.0,2020
MLA-0002,Mining & Resources,Partner_Thapelo,Associate_17,CLT-024,Large Corporate,Gaborone,2024-01-06,2024-10-03,Completed,271,306.6,234.4,0.764,3800,1165126.0,890673.0,146084.0,0.0,274453.0,3.6,2024
MLA-0003,Regulatory & Compliance,Partner_Molao,Associate_04,CLT-056,Large Corporate,Gaborone,2021-11-16,2022-04-21,Completed,156,100.9,90.5,0.896,2600,262410.0,235208.0,30296.0,0.0,27203.0,3.5,2021
MLA-0004,Property & Conveyancing,Partner_Gaobuse,Associate_14,CLT-001,Financial Institution,Francistown,2024-01-15,2024-03-02,Active,47,33.3,30.5,0.916,1800,59971.0,54904.0,8006.0,0.0,5067.0,,2024
MLA-0005,Property & Conveyancing,Partner_Gaobuse,Associate_20,CLT-011,Large Corporate,Gaborone,2019-05-26,2019-07-29,Completed,64,23.4,21.7,0.924,1800,42185.0,38999.0,3518.0,0.0,3185.0,2.1,2019
MLA-0006,Litigation,Partner_Setlhabi,Associate_14,CLT-067,Large Corporate,Gaborone,2022-04-02,2022-10-05,Active,186,55.5,45.6,0.823,2800,155341.0,127787.0,16614.0,0.0,27554.0,,2022
MLA-0007,Property & Conveyancing,Partner_Gaobuse,Associate_10,CLT-007,Government / Parastatal,Francistown,2024-07-03,2024-09-06,Completed,65,18.1,16.2,0.894,1800,32534.0,29073.0,3123.0,7268.0,3461.0,2.8,2024
MLA-0008,Mining & Resources,Partner_Setlhabi,Associate_03,CLT-010,Mining Company,Gaborone,2024-12-11,,Active,110,101.1,74.7,0.738,3800,384327.0,283809.0,44386.0,70952.0,100518.0,,2024
MLA-0009,Employment Law,Partner_Mmolawa,Associate_07,CLT-005,Large Corporate,Gaborone,2018-07-09,2018-09-29,Completed,82,50.7,34.5,0.681,2200,111438.0,75922.0,12183.0,0.0,35516.0,2.5,2018
MLA-0010,Employment Law,Partner_Mmolawa,Associate_13,CLT-040,Mining Company,Maun,2020-09-26,2020-12-18,Completed,83,44.5,29.3,0.659,2200,97945.0,64500.0,10710.0,32250.0,33445.0,,2020
MLA-0011,Mining & Resources,Partner_Thapelo,Associate_17,CLT-035,Financial Institution,Francistown,2024-04-02,2025-03-13,Active,345,119.4,88.8,0.744,3800,453836.0,337448.0,36897.0,84362.0,116388.0,,2024
MLA-0012,Employment Law,Partner_Thapelo,Associate_11,CLT-113,Government / Parastatal,Francistown,2022-12-18,2023-02-26,Completed,70,43.4,36.3,0.836,2200,95563.0,79912.0,9240.0,19978.0,15651.0,3.4,2022
MLA-0013,Regulatory & Compliance,Partner_Mmolawa,Associate_15,CLT-009,Government / Parastatal,Gaborone,2020-10-09,2021-02-05,Completed,119,107.1,87.9,0.821,2600,278562.0,228568.0,34536.0,0.0,49994.0,3.1,2020
MLA-0014,Property & Conveyancing,Partner_Gaobuse,Associate_08,CLT-009,Government / Parastatal,Gaborone,2021-08-02,2021-08-31,Completed,29,36.1,35.0,0.972,1800,64910.0,63079.0,4391.0,0.0,1831.0,3.5,2021
MLA-0015,Commercial Law,Partner_Molao,Associate_11,CLT-047,Large Corporate,Maun,2022-08-31,2022-10-12,Active,42,26.7,19.2,0.72,3200,85439.0,61554.0,6194.0,15388.0,23886.0,,2022
MLA-0016,Regulatory & Compliance,Partner_Molao,Associate_19,CLT-021,Large Corporate,Gaborone,2018-01-25,2018-06-29,Completed,155,69.5,66.2,0.953,2600,180644.0,172133.0,17334.0,86067.0,8511.0,,2018
MLA-0017,Property & Conveyancing,Partner_Gaobuse,Associate_20,CLT-104,Government / Parastatal,Gaborone,2023-06-23,2023-08-17,Completed,55,29.7,23.4,0.788,1800,53423.0,42092.0,2263.0,0.0,11331.0,,2023
MLA-0018,Litigation,Partner_Setlhabi,Associate_15,CLT-108,SME,Gaborone,2024-12-23,2025-03-31,Active,98,125.2,98.6,0.787,2800,350689.0,276130.0,35054.0,69033.0,74558.0,,2024
MLA-0019,Commercial Law,Partner_Molao,Associate_15,CLT-006,Large Corporate,Gaborone,2020-12-01,2021-02-12,Completed,73,63.6,51.1,0.804,3200,203471.0,163608.0,15132.0,40902.0,39863.0,4.5,2020
MLA-0020,Mining & Resources,Partner_Gaobuse,Associate_03,CLT-036,Large Corporate,Francistown,2024-01-19,2024-05-12,On Hold,114,224.1,166.3,0.742,3800,851402.0,631927.0,50016.0,0.0,219475.0,,2024
MLA-0021,Regulatory & Compliance,Partner_Molao,Associate_01,CLT-112,Large Corporate,Francistown,2020-03-27,2020-07-06,Completed,101,72.4,67.0,0.926,2600,188170.0,174162.0,14109.0,0.0,14008.0,3.3,2020
MLA-0022,Regulatory & Compliance,Partner_Mmolawa,Associate_09,CLT-083,Large Corporate,Gaborone,2019-11-19,2020-05-06,On Hold,169,78.9,60.4,0.766,2600,205181.0,157123.0,22529.0,39281.0,48058.0,,2019
MLA-0023,Commercial Law,Partner_Molao,Associate_19,CLT-001,Financial Institution,Francistown,2021-07-01,2021-08-29,Active,59,112.7,96.5,0.856,3200,360658.0,308727.0,30499.0,154363.0,51931.0,,2021
MLA-0024,Commercial Law,Partner_Molao,Associate_08,CLT-004,Government / Parastatal,Gaborone,2021-05-20,2021-08-29,Completed,101,75.8,70.4,0.928,3200,242563.0,225214.0,14805.0,225214.0,17349.0,,2021
MLA-0025,Litigation,Partner_Setlhabi,Associate_12,CLT-003,Mining Company,Gaborone,2021-10-29,2022-05-10,Completed,193,187.8,123.8,0.659,2800,525845.0,346591.0,39416.0,0.0,179254.0,3.4,2021
MLA-0026,Regulatory & Compliance,Partner_Mmolawa,Associate_05,CLT-030,Government / Parastatal,Maun,2023-11-08,2024-01-09,Completed,62,39.8,33.9,0.85,2600,103560.0,88018.0,13649.0,0.0,15542.0,4.4,2023
MLA-0027,Property & Conveyancing,Partner_Gaobuse,Associate_09,CLT-012,High-Net-Worth Individual,Gaborone,2020-10-02,2020-11-27,Completed,56,41.3,39.4,0.955,1800,74324.0,70964.0,11682.0,0.0,3360.0,4.1,2020
MLA-0028,Employment Law,Partner_Mmolawa,Associate_01,CLT-040,Mining Company,Maun,2021-08-24,2021-10-22,Completed,59,62.0,41.3,0.667,2200,136315.0,90861.0,13967.0,0.0,45454.0,,2021
MLA-0029,Employment Law,Partner_Mmolawa,Associate_01,CLT-043,Mining Company,Maun,2020-02-22,2020-06-30,Completed,129,62.0,39.9,0.644,2200,136305.0,87785.0,9965.0,21946.0,48520.0,,2020
MLA-0030,Employment Law,Partner_Mmolawa,Associate_01,CLT-003,Mining Company,Gaborone,2020-06-26,2020-11-03,Completed,130,54.3,39.0,0.719,2200,119483.0,85864.0,11705.0,0.0,33619.0,1.7,2020
MLA-0031,Litigation,Partner_Thapelo,Associate_11,CLT-017,SME,Francistown,2023-02-02,2023-10-08,Completed,248,180.3,135.0,0.749,2800,504765.0,378111.0,24836.0,0.0,126654.0,3.3,2023
MLA-0032,Property & Conveyancing,Partner_Setlhabi,Associate_07,CLT-007,Government / Parastatal,Francistown,2023-06-07,2023-06-21,Completed,14,28.9,20.9,0.724,1800,52019.0,37662.0,5605.0,0.0,14356.0,,2023
