property_id,city,suburb,property_type,transaction_type,agent,bedrooms,bathrooms,floor_area_sqm,plot_size_sqm,age_years,has_pool,has_garage,is_gated_community,true_market_value,listed_price,sale_price,monthly_rent_bwp,rental_yield_pct,pricing_error_pct,commission_earned_bwp,commission_lost_bwp,listing_date,closed_date,days_on_market,viewings_count,referral_source,client_satisfaction,deal_status
PPG-00001,Maun,Matlapana,House,Rental,Agent_Boago,2,1,288,585,6,0,0,1,2605714.2857142854,15200.0,15200.0,15200.0,7.0,0.0,15200.0,0.0,2024-01-31,2024-02-08,8,1,Referral,3.1,Closed
PPG-00002,Gaborone,Extension 14,Plot,Sale,Agent_Mpho,0,0,0,1506,17,0,0,0,315000.0,315000.0,315000.0,0.0,0.0,0.0,15750.0,0.0,2024-06-12,2024-10-05,115,13,Online Listing,,Closed
PPG-00003,Francistown,Monarch,House,Sale,Agent_Tshepho,3,2,412,1536,16,0,0,0,1256000.0,1265000.0,1185000.0,0.0,0.0,0.72,59250.0,0.0,2024-08-21,2024-11-10,81,9,Walk-in,3.8,Closed
PPG-00004,Francistown,Gerald Estate,Apartment,Rental,Agent_Lesego,2,1,333,1737,4,0,0,0,1114285.714285714,6500.0,6500.0,6500.0,7.0,0.0,6500.0,0.0,2024-09-07,2024-09-20,13,4,Agent Network,,Closed
PPG-00005,Maun,Sedie Ward,Commercial Office,Rental,Agent_Mpho,0,0,117,769,2,0,0,0,3085714.2857142854,18000.0,18000.0,18000.0,7.0,0.0,18000.0,0.0,2024-11-18,2024-12-04,16,4,Agent Network,4.3,Closed
PPG-00006,Gaborone,Phase 2,Apartment,Rental,Agent_Mpho,5,4,498,1495,25,0,0,1,2400000.0,14000.0,14000.0,14000.0,7.0,0.0,14000.0,0.0,2024-05-21,2024-06-25,35,3,Agent Network,4.7,Closed
PPG-00007,Gaborone,Mogoditshane,Retail Space,Rental,Agent_Boago,0,0,125,1088,24,0,0,0,3479999.9999999995,20300.0,20300.0,20300.0,7.0,0.0,20300.0,0.0,2024-01-12,2024-01-22,10,3,Cold Call,3.7,Closed
PPG-00008,Francistown,Tati Siding,Apartment,Sale,Agent_Tshepho,3,2,572,1860,11,0,0,0,807000.0,792000.0,811000.0,0.0,0.0,-1.86,40550.0,750.0,2024-01-01,2024-06-09,160,19,Online Listing,,Closed
PPG-00009,Francistown,Gerald Estate,Apartment,Sale,Agent_Kabo,5,4,140,475,31,0,0,0,270000.0,262000.0,272000.0,0.0,0.0,-2.96,13600.0,400.0,2024-07-24,2024-10-18,86,13,Agent Network,3.9,Closed
PPG-00010,Maun,Boseja,House,Sale,Agent_Mpho,1,1,406,343,35,1,1,1,685000.0,705000.0,650000.0,0.0,0.0,2.92,32500.0,0.0,2025-04-29,,69,9,Agent Network,,Active
PPG-00011,Gaborone,CBD,Townhouse,Rental,Agent_Tshepho,4,3,115,1679,6,1,0,0,1405714.2857142857,8200.0,8200.0,8200.0,7.0,0.0,8200.0,0.0,2024-07-15,2024-07-30,15,4,Cold Call,,Closed
PPG-00012,Gaborone,Phase 2,Plot,Sale,Agent_Mpho,0,0,0,1207,35,0,0,1,301000.0,277000.0,301000.0,0.0,0.0,-7.97,15050.0,1200.0,2024-03-01,2024-05-09,69,8,Agent Network,4.6,Closed
PPG-00013,Francistown,Tati Siding,Warehouse,Rental,Agent_Boago,0,0,218,688,18,0,1,1,10988571.428571427,64100.0,64100.0,64100.0,7.0,0.0,64100.0,0.0,2024-03-03,2024-03-26,23,2,Walk-in,4.0,Closed
PPG-00014,Maun,Matlapana,House,Sale,Agent_Neo,2,1,130,1518,4,0,1,1,322000.0,320000.0,307000.0,0.0,0.0,-0.62,15350.0,100.0,2024-11-17,2025-01-24,68,9,Online Listing,,Closed
PPG-00015,Maun,Boseja,Plot,Sale,Agent_Lesego,0,0,0,319,29,0,0,0,93000.0,93000.0,89000.0,0.0,0.0,0.0,4450.0,0.0,2025-03-24,,146,18,Online Listing,4.6,Active
PPG-00016,Maun,Matlapana,Warehouse,Rental,Agent_Gomolemo,0,0,166,575,16,0,1,1,9120000.0,53200.0,53200.0,53200.0,7.0,0.0,53200.0,0.0,2024-10-05,2024-10-26,21,3,Cold Call,3.4,Closed
PPG-00017,Maun,Boseja,Commercial Office,Rental,Agent_Tshepho,0,0,112,489,27,0,0,1,5142857.142857143,30000.0,30000.0,30000.0,7.0,0.0,30000.0,0.0,2024-05-13,2024-06-25,43,5,Online Listing,4.1,Closed
PPG-00018,Francistown,Monarch,House,Sale,Agent_Kabo,5,4,96,1056,35,1,1,1,329000.0,334000.0,330000.0,0.0,0.0,1.52,16500.0,0.0,2025-02-20,,165,17,Referral,5.0,Active
PPG-00019,Gaborone,CBD,House,Rental,Agent_Mpho,4,3,314,846,10,0,1,0,3874285.714285714,22600.0,22600.0,22600.0,7.0,0.0,22600.0,0.0,2024-08-15,2024-08-30,15,3,Agent Network,4.6,Closed
PPG-00020,Gaborone,Broadhurst,House,Sale,Agent_Boago,4,3,396,870,4,0,1,0,2330000.0,2213000.0,2233000.0,0.0,0.0,-5.02,111650.0,5850.0,2024-04-21,2024-12-09,232,26,Online Listing,4.0,Closed
PPG-00021,Francistown,Somerset,Townhouse,Rental,Agent_Kabo,1,1,592,1951,34,0,0,0,1577142.857142857,9200.0,9200.0,9200.0,7.0,0.0,9200.0,0.0,2025-03-17,2025-03-24,7,4,Online Listing,4.7,Closed
