customer_id,plan,industry,region,acquisition_channel,signup_date,churn_date,status,tenure_days,cohort,mrr_bwp,logins_per_week,features_adopted,sessions_per_month,onboarding_complete,support_tickets,nps_score,failed_payments,has_upgraded,has_downgraded,churn_probability,risk_level
TP-00001,Starter,Retail,Maun,Referral,2021-09-01,2021-10-01,Churned,30,2021,245,3.55,3,18.7,1,0,66.0,0,0,0,0.3714,Medium
TP-00002,Free,NGO,Gaborone,Referral,2024-06-06,2024-07-06,Churned,30,2024,0,1.73,3,5.9,0,0,4.0,0,0,0,0.8745,Critical
TP-00003,Professional,Retail,Serowe,Referral,2024-04-30,,Active,335,2024,798,0.0,7,0.0,1,1,0.0,0,1,0,0.1816,Low
TP-00004,Free,Education,Francistown,Organic Search,2024-07-04,2024-08-03,Churned,30,2024,0,3.16,1,13.9,0,0,-17.0,0,0,0,0.9315,Critical
TP-00005,Free,NGO,Palapye,Social Media,2023-08-27,2023-09-26,Churned,30,2023,0,0.02,2,0.1,1,1,10.0,0,0,0,0.9468,Critical
TP-00006,Professional,Agriculture,Gaborone,Event,2022-06-18,,Active,1017,2022,798,3.54,5,14.0,1,2,47.0,0,0,0,0.02,Low
TP-00007,Starter,Professional Services,Francistown,Referral,2023-05-30,,Active,671,2023,245,3.13,4,8.7,0,0,-11.0,1,0,0,0.6675,Critical
TP-00008,Professional,Retail,Gaborone,Organic Search,2024-12-05,,Active,116,2024,798,5.12,3,24.5,1,0,28.0,2,1,0,0.0507,Low
TP-00009,Professional,Education,Gaborone,Direct Sales,2022-08-20,,Active,954,2022,798,6.36,7,19.3,0,3,,0,1,0,0.02,Low
TP-00010,Professional,Agriculture,Palapye,Direct Sales,2022-06-12,2023-04-22,Churned,314,2022,798,3.94,7,11.6,1,3,,0,0,0,0.1509,Low
TP-00011,Free,Professional Services,Gaborone,Referral,2024-11-09,2024-12-09,Churned,30,2024,0,3.19,2,29.9,0,0,,0,0,0,0.813,Critical
TP-00012,Starter,Retail,Maun,Organic Search,2024-03-28,2024-09-13,Churned,169,2024,245,1.42,1,8.3,0,2,,0,0,0,0.7845,Critical
TP-00013,Free,Retail,Lobatse,Event,2021-11-22,2022-03-02,Churned,100,2021,0,0.43,1,2.4,0,1,,0,0,0,0.95,Critical
TP-00014,Starter,Construction,Gaborone,Referral,2023-06-10,,Active,660,2023,245,3.29,5,15.0,0,1,,0,0,0,0.3947,Medium
TP-00015,Free,Education,Palapye,Social Media,2021-10-04,2021-11-05,Churned,32,2021,0,0.93,0,4.4,1,0,,0,0,0,0.95,Critical
TP-00016,Professional,Hospitality,Gaborone,Direct Sales,2023-07-01,,Active,639,2023,798,4.97,3,18.2,1,0,49.0,0,0,0,0.0937,Low
TP-00017,Enterprise,Construction,Maun,Direct Sales,2024-03-07,,Active,389,2024,2299,5.87,10,26.8,1,5,56.0,0,0,0,0.02,Low
TP-00018,Starter,Construction,Francistown,Organic Search,2020-10-24,2021-03-06,Churned,133,2020,245,6.49,3,25.4,0,0,27.0,1,1,1,0.5197,High
TP-00019,Starter,Healthcare,Maun,Referral,2023-06-10,2023-09-10,Churned,92,2023,245,1.05,2,5.7,1,1,,1,0,0,0.8457,Critical
TP-00020,Free,Agriculture,Gaborone,Direct Sales,2023-01-13,2023-02-14,Churned,32,2023,0,0.21,1,0.9,0,1,5.0,0,0,0,0.95,Critical
TP-00021,Free,Education,Serowe,Organic Search,2021-10-23,,Active,1255,2021,0,2.18,0,11.1,1,0,-4.0,0,0,0,0.8681,Critical
TP-00022,Free,Finance,Gaborone,Event,2023-06-13,2023-07-16,Churned,33,2023,0,0.46,1,2.5,0,1,,0,0,0,0.95,Critical
TP-00023,Free,Logistics,Francistown,Direct Sales,2020-09-29,2020-11-26,Churned,58,2020,0,0.0,1,0.0,1,2,-12.0,0,0,0,0.95,Critical
TP-00024,Starter,Finance,Maun,Direct Sales,2021-04-14,2021-05-14,Churned,30,2021,245,0.82,4,5.0,1,0,35.0,0,1,0,0.4288,Medium
TP-00025,Free,Retail,Francistown,Partnership,2023-05-24,2023-06-23,Churned,30,2023,0,0.54,3,2.7,1,0,,0,0,1,0.95,Critical
TP-00026,Free,Professional Services,Lobatse,Partnership,2021-10-18,2022-01-11,Churned,85,2021,0,0.23,2,1.4,0,0,-2.0,0,0,1,0.95,Critical
TP-00027,Starter,Education,Lobatse,Referral,2024-03-03,,Active,393,2024,245,4.03,5,15.9,0,0,9.0,0,0,0,0.1992,Low
