date,day_of_week,shift,department,patients_arrived,staff_on_duty,wait_time_min
2025-07-01,Tuesday,Morning (7am-3pm),Emergency,44,7,17.5
2025-07-01,Tuesday,Afternoon (3pm-11pm),Emergency,55,8,25.0
2025-07-01,Tuesday,Night (11pm-7am),Emergency,30,4,7.4
2025-07-01,Tuesday,Morning (7am-3pm),Outpatient,77,18,11.7
2025-07-01,Tuesday,Afternoon (3pm-11pm),Outpatient,62,14,22.6
2025-07-01,Tuesday,Night (11pm-7am),Outpatient,0,1,5.0
2025-07-01,Tuesday,Morning (7am-3pm),Surgery,7,3,5.4
2025-07-01,Tuesday,Afternoon (3pm-11pm),Surgery,5,1,30.9
2025-07-01,Tuesday,Night (11pm-7am),Surgery,1,1,5.0
2025-07-01,Tuesday,Morning (7am-3pm),Maternity,12,2,31.3
2025-07-01,Tuesday,Afternoon (3pm-11pm),Maternity,15,3,17.0
2025-07-01,Tuesday,Night (11pm-7am),Maternity,7,2,5.0
2025-07-01,Tuesday,Morning (7am-3pm),Pediatrics,27,5,17.2
2025-07-01,Tuesday,Afternoon (3pm-11pm),Pediatrics,27,6,16.7
2025-07-01,Tuesday,Night (11pm-7am),Pediatrics,11,3,5.0
2025-07-01,Tuesday,Morning (7am-3pm),ICU,8,5,7.6
2025-07-01,Tuesday,Afternoon (3pm-11pm),ICU,8,3,14.5
2025-07-01,Tuesday,Night (11pm-7am),ICU,9,4,5.0
2025-07-02,Wednesday,Morning (7am-3pm),Emergency,43,7,29.6
2025-07-02,Wednesday,Afternoon (3pm-11pm),Emergency,59,10,24.1
2025-07-02,Wednesday,Night (11pm-7am),Emergency,33,6,35.2
2025-07-02,Wednesday,Morning (7am-3pm),Outpatient,95,24,16.8
2025-07-02,Wednesday,Afternoon (3pm-11pm),Outpatient,59,14,7.9
2025-07-02,Wednesday,Night (11pm-7am),Outpatient,0,1,18.1
2025-07-02,Wednesday,Morning (7am-3pm),Surgery,6,1,13.7
2025-07-02,Wednesday,Afternoon (3pm-11pm),Surgery,6,2,11.0
2025-07-02,Wednesday,Night (11pm-7am),Surgery,1,1,5.0
2025-07-02,Wednesday,Morning (7am-3pm),Maternity,13,4,5.0
2025-07-02,Wednesday,Afternoon (3pm-11pm),Maternity,10,3,10.1
2025-07-02,Wednesday,Night (11pm-7am),Maternity,8,1,25.6
2025-07-02,Wednesday,Morning (7am-3pm),Pediatrics,29,6,5.0
2025-07-02,Wednesday,Afternoon (3pm-11pm),Pediatrics,18,3,9.3
2025-07-02,Wednesday,Night (11pm-7am),Pediatrics,9,1,48.0
2025-07-02,Wednesday,Morning (7am-3pm),ICU,7,2,10.3
2025-07-02,Wednesday,Afternoon (3pm-11pm),ICU,8,3,5.0
2025-07-02,Wednesday,Night (11pm-7am),ICU,8,3,5.0
2025-07-03,Thursday,Morning (7am-3pm),Emergency,38,6,26.1
2025-07-03,Thursday,Afternoon (3pm-11pm),Emergency,33,4,20.9
2025-07-03,Thursday,Night (11pm-7am),Emergency,33,6,12.9
2025-07-03,Thursday,Morning (7am-3pm),Outpatient,80,20,5.0
2025-07-03,Thursday,Afternoon (3pm-11pm),Outpatient,67,16,18.1
2025-07-03,Thursday,Night (11pm-7am),Outpatient,0,1,5.0
2025-07-03,Thursday,Morning (7am-3pm),Surgery,7,1,30.4
2025-07-03,Thursday,Afternoon (3pm-11pm),Surgery,5,2,7.3
2025-07-03,Thursday,Night (11pm-7am),Surgery,1,1,13.9
2025-07-03,Thursday,Morning (7am-3pm),Maternity,12,2,25.3
2025-07-03,Thursday,Afternoon (3pm-11pm),Maternity,11,3,7.6
2025-07-03,Thursday,Night (11pm-7am),Maternity,11,2,11.2
2025-07-03,Thursday,Morning (7am-3pm),Pediatrics,40,8,17.2
2025-07-03,Thursday,Afternoon (3pm-11pm),Pediatrics,25,6,18.4
2025-07-03,Thursday,Night (11pm-7am),Pediatrics,15,3,13.9
2025-07-03,Thursday,Morning (7am-3pm),ICU,9,5,5.0
2025-07-03,Thursday,Afternoon (3pm-11pm),ICU,8,4,5.0
2025-07-03,Thursday,Night (11pm-7am),ICU,8,5,5.0
2025-07-04,Friday,Morning (7am-3pm),Emergency,49,7,15.0
2025-07-04,Friday,Afternoon (3pm-11pm),Emergency,67,12,11.0
2025-07-04,Friday,Night (11pm-7am),Emergency,36,7,22.0
2025-07-04,Friday,Morning (7am-3pm),Outpatient,72,19,5.0
2025-07-04,Friday,Afternoon (3pm-11pm),Outpatient,53,12,15.1
2025-07-04,Friday,Night (11pm-7am),Outpatient,0,1,9.1
2025-07-04,Friday,Morning (7am-3pm),Surgery,7,3,6.5
2025-07-04,Friday,Afternoon (3pm-11pm),Surgery,5,1,10.8
2025-07-04,Friday,Night (11pm-7am),Surgery,2,1,5.0
2025-07-04,Friday,Morning (7am-3pm),Maternity,11,3,20.1
2025-07-04,Friday,Afternoon (3pm-11pm),Maternity,18,5,24.6
2025-07-04,Friday,Night (11pm-7am),Maternity,9,2,10.7
2025-07-04,Friday,Morning (7am-3pm),Pediatrics,31,5,13.7
2025-07-04,Friday,Afternoon (3pm-11pm),Pediatrics,23,4,11.0
2025-07-04,Friday,Night (11pm-7am),Pediatrics,11,3,13.7
2025-07-04,Friday,Morning (7am-3pm),ICU,7,2,5.0
2025-07-04,Friday,Afternoon (3pm-11pm),ICU,7,2,14.7
2025-07-04,Friday,Night (11pm-7am),ICU,8,4,11.2
2025-07-05,Saturday,Morning (7am-3pm),Emergency,61,10,22.2
2025-07-05,Saturday,Afternoon (3pm-11pm),Emergency,71,11,37.5
2025-07-05,Saturday,Night (11pm-7am),Emergency,49,7,6.3
2025-07-05,Saturday,Morning (7am-3pm),Outpatient,49,11,22.9
2025-07-05,Saturday,Afternoon (3pm-11pm),Outpatient,32,7,10.2
2025-07-05,Saturday,Night (11pm-7am),Outpatient,0,1,8.0
2025-07-05,Saturday,Morning (7am-3pm),Surgery,9,2,5.0
2025-07-05,Saturday,Afternoon (3pm-11pm),Surgery,4,1,28.0
2025-07-05,Saturday,Night (11pm-7am),Surgery,2,1,5.0
2025-07-05,Saturday,Morning (7am-3pm),Maternity,7,2,19.8
2025-07-05,Saturday,Afternoon (3pm-11pm),Maternity,13,2,11.6
2025-07-05,Saturday,Night (11pm-7am),Maternity,8,3,28.2
2025-07-05,Saturday,Morning (7am-3pm),Pediatrics,29,5,14.6
2025-07-05,Saturday,Afternoon (3pm-11pm),Pediatrics,29,6,18.2
2025-07-05,Saturday,Night (11pm-7am),Pediatrics,17,2,20.7
2025-07-05,Saturday,Morning (7am-3pm),ICU,8,3,7.2
2025-07-05,Saturday,Afternoon (3pm-11pm),ICU,8,3,9.3
2025-07-05,Saturday,Night (11pm-7am),ICU,5,3,15.8
2025-07-06,Sunday,Morning (7am-3pm),Emergency,58,10,28.1
2025-07-06,Sunday,Afternoon (3pm-11pm),Emergency,84,15,22.6
2025-07-06,Sunday,Night (11pm-7am),Emergency,29,3,26.3
2025-07-06,Sunday,Morning (7am-3pm),Outpatient,29,7,6.3
2025-07-06,Sunday,Afternoon (3pm-11pm),Outpatient,19,4,21.5
2025-07-06,Sunday,Night (11pm-7am),Outpatient,0,1,5.0
2025-07-06,Sunday,Morning (7am-3pm),Surgery,9,4,7.4
2025-07-06,Sunday,Afternoon (3pm-11pm),Surgery,6,1,17.9
2025-07-06,Sunday,Night (11pm-7am),Surgery,1,1,5.0
2025-07-06,Sunday,Morning (7am-3pm),Maternity,14,3,5.0
2025-07-06,Sunday,Afternoon (3pm-11pm),Maternity,14,4,18.9
2025-07-06,Sunday,Night (11pm-7am),Maternity,9,3,5.0
2025-07-06,Sunday,Morning (7am-3pm),Pediatrics,23,5,11.7
2025-07-06,Sunday,Afternoon (3pm-11pm),Pediatrics,23,3,34.2
2025-07-06,Sunday,Night (11pm-7am),Pediatrics,14,3,30.7
2025-07-06,Sunday,Morning (7am-3pm),ICU,7,4,5.0
2025-07-06,Sunday,Afternoon (3pm-11pm),ICU,8,5,11.9
2025-07-06,Sunday,Night (11pm-7am),ICU,7,3,5.0
2025-07-07,Monday,Morning (7am-3pm),Emergency,44,6,39.5
2025-07-07,Monday,Afternoon (3pm-11pm),Emergency,62,10,23.2
2025-07-07,Monday,Night (11pm-7am),Emergency,39,5,25.4
2025-07-07,Monday,Morning (7am-3pm),Outpatient,73,19,6.8
2025-07-07,Monday,Afternoon (3pm-11pm),Outpatient,46,12,16.0
2025-07-07,Monday,Night (11pm-7am),Outpatient,0,1,5.0
2025-07-07,Monday,Morning (7am-3pm),Surgery,9,3,5.0
2025-07-07,Monday,Afternoon (3pm-11pm),Surgery,5,1,12.8
2025-07-07,Monday,Night (11pm-7am),Surgery,2,1,8.0
2025-07-07,Monday,Morning (7am-3pm),Maternity,12,2,14.7
2025-07-07,Monday,Afternoon (3pm-11pm),Maternity,13,4,5.0
2025-07-07,Monday,Night (11pm-7am),Maternity,11,3,5.6
2025-07-07,Monday,Morning (7am-3pm),Pediatrics,29,4,5.0
2025-07-07,Monday,Afternoon (3pm-11pm),Pediatrics,31,5,5.0
2025-07-07,Monday,Night (11pm-7am),Pediatrics,15,4,10.0
2025-07-07,Monday,Morning (7am-3pm),ICU,9,4,5.0
2025-07-07,Monday,Afternoon (3pm-11pm),ICU,8,3,5.0
2025-07-07,Monday,Night (11pm-7am),ICU,7,2,24.5
2025-07-08,Tuesday,Morning (7am-3pm),Emergency,43,7,19.9
2025-07-08,Tuesday,Afternoon (3pm-11pm),Emergency,57,9,33.5
2025-07-08,Tuesday,Night (11pm-7am),Emergency,29,3,41.0
2025-07-08,Tuesday,Morning (7am-3pm),Outpatient,82,20,23.9
2025-07-08,Tuesday,Afternoon (3pm-11pm),Outpatient,51,12,26.8
2025-07-08,Tuesday,Night (11pm-7am),Outpatient,0,1,7.7
2025-07-08,Tuesday,Morning (7am-3pm),Surgery,9,2,12.3
2025-07-08,Tuesday,Afternoon (3pm-11pm),Surgery,7,1,35.1
2025-07-08,Tuesday,Night (11pm-7am),Surgery,1,1,5.0
2025-07-08,Tuesday,Morning (7am-3pm),Maternity,13,4,15.1
2025-07-08,Tuesday,Afternoon (3pm-11pm),Maternity,15,4,5.0
2025-07-08,Tuesday,Night (11pm-7am),Maternity,12,2,29.4
2025-07-08,Tuesday,Morning (7am-3pm),Pediatrics,29,4,34.3
2025-07-08,Tuesday,Afternoon (3pm-11pm),Pediatrics,18,4,11.7
2025-07-08,Tuesday,Night (11pm-7am),Pediatrics,14,3,5.0
2025-07-08,Tuesday,Morning (7am-3pm),ICU,8,5,12.8
2025-07-08,Tuesday,Afternoon (3pm-11pm),ICU,9,5,5.0
2025-07-08,Tuesday,Night (11pm-7am),ICU,9,4,5.0
2025-07-09,Wednesday,Morning (7am-3pm),Emergency,35,5,20.5
2025-07-09,Wednesday,Afternoon (3pm-11pm),Emergency,49,7,24.9
2025-07-09,Wednesday,Night (11pm-7am),Emergency,37,6,29.5
2025-07-09,Wednesday,Morning (7am-3pm),Outpatient,68,18,5.0
2025-07-09,Wednesday,Afternoon (3pm-11pm),Outpatient,51,11,10.5
2025-07-09,Wednesday,Night (11pm-7am),Outpatient,0,1,5.2
2025-07-09,Wednesday,Morning (7am-3pm),Surgery,7,2,6.1
2025-07-09,Wednesday,Afternoon (3pm-11pm),Surgery,5,1,17.0
2025-07-09,Wednesday,Night (11pm-7am),Surgery,2,1,5.0
2025-07-09,Wednesday,Morning (7am-3pm),Maternity,12,4,11.9
2025-07-09,Wednesday,Afternoon (3pm-11pm),Maternity,13,2,10.0
2025-07-09,Wednesday,Night (11pm-7am),Maternity,11,3,5.0
2025-07-09,Wednesday,Morning (7am-3pm),Pediatrics,26,4,33.0
2025-07-09,Wednesday,Afternoon (3pm-11pm),Pediatrics,27,5,17.1
2025-07-09,Wednesday,Night (11pm-7am),Pediatrics,12,2,9.2
2025-07-09,Wednesday,Morning (7am-3pm),ICU,6,2,14.8
2025-07-09,Wednesday,Afternoon (3pm-11pm),ICU,7,3,5.0
2025-07-09,Wednesday,Night (11pm-7am),ICU,8,3,19.7
2025-07-10,Thursday,Morning (7am-3pm),Emergency,55,8,10.7
2025-07-10,Thursday,Afternoon (3pm-11pm),Emergency,56,10,11.3
2025-07-10,Thursday,Night (11pm-7am),Emergency,33,4,24.5
2025-07-10,Thursday,Morning (7am-3pm),Outpatient,85,20,10.7
2025-07-10,Thursday,Afternoon (3pm-11pm),Outpatient,64,17,5.0
2025-07-10,Thursday,Night (11pm-7am),Outpatient,0,1,5.0
2025-07-10,Thursday,Morning (7am-3pm),Surgery,6,3,5.0
2025-07-10,Thursday,Afternoon (3pm-11pm),Surgery,4,1,19.7
2025-07-10,Thursday,Night (11pm-7am),Surgery,2,1,5.0
2025-07-10,Thursday,Morning (7am-3pm),Maternity,9,3,13.1
2025-07-10,Thursday,Afternoon (3pm-11pm),Maternity,14,3,27.7
2025-07-10,Thursday,Night (11pm-7am),Maternity,9,1,22.4
2025-07-10,Thursday,Morning (7am-3pm),Pediatrics,29,5,11.7
2025-07-10,Thursday,Afternoon (3pm-11pm),Pediatrics,23,3,32.0
2025-07-10,Thursday,Night (11pm-7am),Pediatrics,16,2,30.4
2025-07-10,Thursday,Morning (7am-3pm),ICU,7,3,5.0
2025-07-10,Thursday,Afternoon (3pm-11pm),ICU,7,2,18.3
2025-07-10,Thursday,Night (11pm-7am),ICU,8,5,12.8
2025-07-11,Friday,Morning (7am-3pm),Emergency,46,8,16.7
2025-07-11,Friday,Afternoon (3pm-11pm),Emergency,54,9,18.6
2025-07-11,Friday,Night (11pm-7am),Emergency,33,5,27.4
2025-07-11,Friday,Morning (7am-3pm),Outpatient,61,16,8.3
2025-07-11,Friday,Afternoon (3pm-11pm),Outpatient,68,17,6.5
2025-07-11,Friday,Night (11pm-7am),Outpatient,0,1,5.0
2025-07-11,Friday,Morning (7am-3pm),Surgery,6,3,5.0
2025-07-11,Friday,Afternoon (3pm-11pm),Surgery,6,1,25.7
2025-07-11,Friday,Night (11pm-7am),Surgery,2,1,5.0
2025-07-11,Friday,Morning (7am-3pm),Maternity,9,1,20.6
2025-07-11,Friday,Afternoon (3pm-11pm),Maternity,14,3,10.6
2025-07-11,Friday,Night (11pm-7am),Maternity,10,2,20.6
2025-07-11,Friday,Morning (7am-3pm),Pediatrics,30,6,21.9
2025-07-11,Friday,Afternoon (3pm-11pm),Pediatrics,23,4,36.6
2025-07-11,Friday,Night (11pm-7am),Pediatrics,14,1,45.3
2025-07-11,Friday,Morning (7am-3pm),ICU,7,3,5.0
2025-07-11,Friday,Afternoon (3pm-11pm),ICU,8,5,7.8
2025-07-11,Friday,Night (11pm-7am),ICU,8,3,8.5
2025-07-12,Saturday,Morning (7am-3pm),Emergency,58,8,23.3
