customer_id,branch,loan_officer,loan_type,age,occupation,monthly_income_bwp,loan_amount_bwp,interest_rate_pct,loan_term_months,monthly_payment_bwp,months_active,outstanding_balance,disburse_date,dti_ratio,credit_score,existing_loans,employment_tenure_yrs,prev_defaults,has_collateral,collateral_value_bwp,payment_status,days_late,missed_payments,collection_action,expected_loss_bwp,will_default
TCU-00001,Gaborone Main,LO009,Business Loan,62,Government Employee,11795.0,309000.0,22.33,12,28970.0,3,198092.0,2025-03-08,2.4561,834,1,17.1,1,0,0.0,Late (30–89 days),47,1,Called,57388.0,1
TCU-00002,Maun,LO009,Business Loan,66,Farmer,5584.0,27000.0,14.39,36,928.0,6,21163.0,2024-12-18,0.1662,768,2,22.0,0,0,0.0,Current,0,0,None,0.0,0
TCU-00003,Lobatse,LO007,Agriculture Loan,61,Self-Employed,6504.0,181200.0,23.77,84,4445.0,10,156432.0,2024-08-26,0.6834,694,2,5.3,0,0,0.0,Early (1–29 days),21,1,None,0.0,0
TCU-00004,Francistown,LO006,Vehicle Loan,32,Pensioner,6277.0,193100.0,17.13,72,4310.0,7,170217.0,2024-11-28,0.6866,727,2,7.3,0,1,242371.0,Current,0,0,None,0.0,0
TCU-00005,Selebi-Phikwe,LO013,Agriculture Loan,42,Private Sector,17012.0,94100.0,17.2,36,3364.0,3,84936.0,2025-03-14,0.1977,776,4,15.5,0,1,92821.0,Current,0,0,None,0.0,0
TCU-00006,Selebi-Phikwe,LO020,Vehicle Loan,26,Farmer,9349.0,378600.0,8.68,72,6764.0,14,290422.0,2024-04-27,0.7235,726,1,8.4,0,1,582704.0,Current,0,0,None,0.0,0
TCU-00007,Francistown,LO017,Personal Loan,38,Pensioner,9223.0,135800.0,17.94,24,6776.0,5,103679.0,2025-01-17,0.7347,623,1,0.5,0,1,323132.0,Current,0,0,None,0.0,0
TCU-00008,Lobatse,LO003,Personal Loan,25,Private Sector,23566.0,489100.0,16.76,24,24126.0,13,212730.0,2024-05-11,1.0238,816,3,5.4,0,0,0.0,Current,0,0,None,0.0,0
TCU-00009,Maun,LO013,Agriculture Loan,66,Private Sector,21597.0,261200.0,10.38,24,12099.0,16,78422.0,2024-03-06,0.5602,850,0,2.6,0,1,611003.0,Current,0,0,None,0.0,0
TCU-00010,Francistown,LO018,Business Loan,64,Farmer,11680.0,290200.0,12.27,48,7681.0,4,233712.0,2025-02-20,0.6576,777,0,13.2,0,1,591842.0,Current,0,0,None,0.0,0
TCU-00011,Maun,LO004,Business Loan,47,Student,2171.0,13800.0,11.34,48,359.0,9,11001.0,2024-09-12,0.1654,768,3,3.4,0,1,11386.0,Current,0,0,None,0.0,0
TCU-00012,Selebi-Phikwe,LO007,Vehicle Loan,48,Farmer,13829.0,5500.0,14.55,84,105.0,2,4793.0,2025-04-10,0.0076,840,1,22.0,1,0,0.0,Late (30–89 days),43,1,Legal Notice,1173.0,1
TCU-00013,Maun,LO002,Personal Loan,25,Student,3545.0,91700.0,10.94,60,1991.0,15,67241.0,2024-03-23,0.5616,661,3,12.4,2,0,0.0,Late (30–89 days),35,2,Legal Notice,17775.0,1
TCU-00014,Maun,LO007,Agriculture Loan,55,Self-Employed,29783.0,200900.0,18.91,36,7355.0,2,170277.0,2025-04-13,0.247,850,2,2.6,0,0,0.0,Late (30–89 days),43,2,Letter Sent,22666.0,1
TCU-00015,Maun,LO010,Business Loan,26,Private Sector,16516.0,154700.0,23.75,84,3793.0,17,117244.0,2024-01-09,0.2297,642,0,26.4,0,0,0.0,Current,0,0,None,0.0,0
TCU-00016,Maun,LO007,Agriculture Loan,35,Student,3720.0,41600.0,22.53,84,988.0,16,29091.0,2024-02-22,0.2656,616,1,8.7,0,0,0.0,Current,0,0,None,0.0,0
TCU-00017,Selebi-Phikwe,LO018,Personal Loan,57,Student,1892.0,61700.0,10.81,12,5448.0,5,33738.0,2025-01-13,2.8795,707,0,27.0,1,0,0.0,Late (30–89 days),45,1,Legal Notice,6357.0,1
TCU-00018,Francistown,LO008,Business Loan,48,Pensioner,9857.0,358400.0,8.88,72,6439.0,6,317809.0,2024-12-06,0.6532,775,1,20.3,1,1,383716.0,Early (1–29 days),16,1,None,0.0,0
TCU-00019,Selebi-Phikwe,LO012,Home Loan,36,Private Sector,25693.0,115300.0,18.73,48,3431.0,7,87828.0,2024-12-02,0.1335,850,0,15.5,0,0,0.0,Late (30–89 days),86,2,Letter Sent,12704.0,1
TCU-00020,Lobatse,LO014,Home Loan,24,Government Employee,20385.0,289800.0,16.43,48,8277.0,11,198415.0,2024-07-13,0.406,850,2,0.5,2,1,586274.0,Current,0,0,None,0.0,0
TCU-00021,Maun,LO020,Home Loan,26,Student,3822.0,57200.0,16.36,72,1252.0,4,48562.0,2025-02-22,0.3276,621,0,20.1,0,0,0.0,Current,0,0,None,0.0,0
TCU-00022,Maun,LO007,Vehicle Loan,22,Self-Employed,32287.0,164500.0,15.35,72,3510.0,10,131266.0,2024-08-06,0.1087,850,2,28.8,1,0,0.0,Current,0,0,None,0.0,0
TCU-00023,Maun,LO008,Business Loan,27,Private Sector,9536.0,128300.0,17.97,84,2694.0,15,96780.0,2024-03-15,0.2825,764,2,11.8,0,1,252617.0,Current,0,0,None,0.0,0
TCU-00024,Francistown,LO017,Vehicle Loan,49,Private Sector,7205.0,128900.0,15.58,84,2529.0,2,119557.0,2025-04-20,0.351,674,4,18.1,2,0,0.0,Current,0,0,None,0.0,0
TCU-00025,Francistown,LO016,Vehicle Loan,57,Farmer,6110.0,83200.0,20.37,60,2221.0,1,77233.0,2025-05-11,0.3635,727,0,8.5,0,1,86132.0,Current,0,0,None,0.0,0
TCU-00026,Selebi-Phikwe,LO011,Education Loan,26,Farmer,8591.0,102700.0,14.54,84,1955.0,17,80155.0,2024-01-21,0.2276,717,2,11.7,0,1,213709.0,Current,0,0,None,0.0,0
TCU-00027,Francistown,LO016,Business Loan,56,Pensioner,5638.0,67700.0,18.87,84,1458.0,4,61809.0,2025-02-18,0.2586,796,4,16.3,2,0,0.0,Late (30–89 days),57,1,Called,19576.0,1
TCU-00028,Selebi-Phikwe,LO011,Business Loan,25,Self-Employed,20369.0,433300.0,12.81,84,7838.0,3,370962.0,2025-03-07,0.3848,696,0,1.1,0,0,0.0,Current,0,0,None,0.0,0
TCU-00029,Gaborone Main,LO008,Business Loan,63,Government Employee,22267.0,123100.0,15.84,12,11160.0,10,18870.0,2024-08-11,0.5012,850,1,28.9,1,0,0.0,Current,0,0,None,0.0,0
TCU-00030,Selebi-Phikwe,LO013,Agriculture Loan,41,Pensioner,5190.0,144500.0,12.26,72,2845.0,7,127522.0,2024-11-04,0.5482,747,1,4.1,3,0,0.0,Late (30–89 days),53,1,Letter Sent,28882.0,1
TCU-00031,Selebi-Phikwe,LO004,Vehicle Loan,22,Farmer,14529.0,415200.0,19.46,48,12516.0,12,298966.0,2024-06-29,0.8614,791,2,16.4,0,1,848148.0,Current,0,0,None,0.0,0
TCU-00032,Selebi-Phikwe,LO008,Vehicle Loan,27,Self-Employed,24515.0,171500.0,16.16,36,6043.0,12,105545.0,2024-07-05,0.2465,844,0,8.1,0,0,0.0,Current,0,0,None,0.0,0
