customer_id,branch,loan_officer,loan_type,age,occupation,monthly_income_bwp,loan_amount_bwp,interest_rate_pct,loan_term_months,monthly_payment_bwp,months_active,outstanding_balance,disburse_date,dti_ratio,credit_score,existing_loans,employment_tenure_yrs,prev_defaults,has_collateral,collateral_value_bwp,payment_status,days_late,missed_payments,collection_action,expected_loss_bwp,will_default,credit_risk_cat,dti_high,income_low,loan_large,tenure_short,collateral_ratio,payment_burden,loan_income_ratio,branch_enc,ltype_enc,occ_enc,default_probability,risk_level
TCU-00001,Gaborone Main,LO009,Business Loan,62,Government Employee,11795.0,309000.0,22.33,12,28970.0,3,198092.0,2025-03-08,2.4561,834,1,17.1,1,0,0.0,Late (30–89 days),47,1,Called,57388.0,1,0,1,0,1,0,0.0,2.0,26.19754133107249,1,1,1,0.9616368224818301,Critical
TCU-00002,Maun,LO009,Business Loan,66,Farmer,5584.0,27000.0,14.39,36,928.0,6,21163.0,2024-12-18,0.1662,768,2,22.0,0,0,0.0,Current,0,0,,0.0,0,1,0,0,0,0,0.0,0.166189111747851,4.835243553008596,3,1,0,0.12735624056402586,Low Risk
TCU-00003,Lobatse,LO007,Agriculture Loan,61,Self-Employed,6504.0,181200.0,23.77,84,4445.0,10,156432.0,2024-08-26,0.6834,694,2,5.3,0,0,0.0,Early (1–29 days),21,1,,0.0,0,2,1,0,0,0,0.0,0.6834255842558425,27.85977859778598,2,0,4,0.31599172123295266,Medium Risk
TCU-00004,Francistown,LO006,Vehicle Loan,32,Pensioner,6277.0,193100.0,17.13,72,4310.0,7,170217.0,2024-11-28,0.6866,727,2,7.3,0,1,242371.0,Current,0,0,,0.0,0,2,1,0,0,0,1.2551579492490936,0.6866337422335511,30.763103393340767,0,5,2,0.16009633568992312,Low Risk
TCU-00005,Selebi-Phikwe,LO013,Agriculture Loan,42,Private Sector,17012.0,94100.0,17.2,36,3364.0,3,84936.0,2025-03-14,0.1977,776,4,15.5,0,1,92821.0,Current,0,0,,0.0,0,1,0,0,0,0,0.9864080765143465,0.1977427698095462,5.531389607335998,4,0,3,0.13224505373407913,Low Risk
TCU-00006,Selebi-Phikwe,LO020,Vehicle Loan,26,Farmer,9349.0,378600.0,8.68,72,6764.0,14,290422.0,2024-04-27,0.7235,726,1,8.4,0,1,582704.0,Current,0,0,,0.0,0,2,1,0,1,0,1.5391019545694664,0.7234998395550326,40.49630976575035,4,5,0,0.30949386259389383,Medium Risk
TCU-00007,Francistown,LO017,Personal Loan,38,Pensioner,9223.0,135800.0,17.94,24,6776.0,5,103679.0,2025-01-17,0.7347,623,1,0.5,0,1,323132.0,Current,0,0,,0.0,0,3,1,0,0,1,2.3794698085419737,0.7346850265640247,14.724059416675702,0,4,2,0.23635009481914918,Medium Risk
TCU-00008,Lobatse,LO003,Personal Loan,25,Private Sector,23566.0,489100.0,16.76,24,24126.0,13,212730.0,2024-05-11,1.0238,816,3,5.4,0,0,0.0,Current,0,0,,0.0,0,0,1,0,1,0,0.0,1.0237630484596452,20.75447678859374,2,4,3,0.28439594565629644,Medium Risk
TCU-00009,Maun,LO013,Agriculture Loan,66,Private Sector,21597.0,261200.0,10.38,24,12099.0,16,78422.0,2024-03-06,0.5602,850,0,2.6,0,1,611003.0,Current,0,0,,0.0,0,0,1,0,1,0,2.3392151607963245,0.5602166967634393,12.094272352641571,3,0,3,0.1358356783846457,Low Risk
TCU-00010,Francistown,LO018,Business Loan,64,Farmer,11680.0,290200.0,12.27,48,7681.0,4,233712.0,2025-02-20,0.6576,777,0,13.2,0,1,591842.0,Current,0,0,,0.0,0,1,1,0,1,0,2.0394279807029636,0.6576198630136987,24.845890410958905,0,1,0,0.22175705294672882,Medium Risk
TCU-00011,Maun,LO004,Business Loan,47,Student,2171.0,13800.0,11.34,48,359.0,9,11001.0,2024-09-12,0.1654,768,3,3.4,0,1,11386.0,Current,0,0,,0.0,0,1,0,1,0,0,0.8250724637681159,0.16536158452326116,6.356517733763242,3,1,5,0.21705925191643838,Medium Risk
TCU-00012,Selebi-Phikwe,LO007,Vehicle Loan,48,Farmer,13829.0,5500.0,14.55,84,105.0,2,4793.0,2025-04-10,0.0076,840,1,22.0,1,0,0.0,Late (30–89 days),43,1,Legal Notice,1173.0,1,0,0,0,0,0,0.0,0.007592739894424759,0.39771494685082076,4,5,0,0.6862861441943504,High Risk
TCU-00013,Maun,LO002,Personal Loan,25,Student,3545.0,91700.0,10.94,60,1991.0,15,67241.0,2024-03-23,0.5616,661,3,12.4,2,0,0.0,Late (30–89 days),35,2,Legal Notice,17775.0,1,3,1,1,0,0,0.0,0.5616361071932299,25.867418899858958,3,4,5,0.8895538833987072,Critical
TCU-00014,Maun,LO007,Agriculture Loan,55,Self-Employed,29783.0,200900.0,18.91,36,7355.0,2,170277.0,2025-04-13,0.247,850,2,2.6,0,0,0.0,Late (30–89 days),43,2,Letter Sent,22666.0,1,0,0,0,0,0,0.0,0.24695295974213477,6.745458818789242,3,0,4,0.40676737863666423,Medium Risk
TCU-00015,Maun,LO010,Business Loan,26,Private Sector,16516.0,154700.0,23.75,84,3793.0,17,117244.0,2024-01-09,0.2297,642,0,26.4,0,0,0.0,Current,0,0,,0.0,0,3,0,0,0,0,0.0,0.22965609106321144,9.366674739646404,3,1,3,0.12248992613021753,Low Risk
TCU-00016,Maun,LO007,Agriculture Loan,35,Student,3720.0,41600.0,22.53,84,988.0,16,29091.0,2024-02-22,0.2656,616,1,8.7,0,0,0.0,Current,0,0,,0.0,0,3,0,1,0,0,0.0,0.26559139784946234,11.182795698924732,3,0,5,0.13472139042576933,Low Risk
TCU-00017,Selebi-Phikwe,LO018,Personal Loan,57,Student,1892.0,61700.0,10.81,12,5448.0,5,33738.0,2025-01-13,2.8795,707,0,27.0,1,0,0.0,Late (30–89 days),45,1,Legal Notice,6357.0,1,2,1,1,0,0,0.0,2.0,32.61099365750528,4,4,5,0.9073430701728913,Critical
TCU-00018,Francistown,LO008,Business Loan,48,Pensioner,9857.0,358400.0,8.88,72,6439.0,6,317809.0,2024-12-06,0.6532,775,1,20.3,1,1,383716.0,Early (1–29 days),16,1,,0.0,0,1,1,0,1,0,1.0706361607142858,0.6532413513239322,36.359947245612254,0,1,2,0.18440070830455596,Low Risk
TCU-00019,Selebi-Phikwe,LO012,Home Loan,36,Private Sector,25693.0,115300.0,18.73,48,3431.0,7,87828.0,2024-12-02,0.1335,850,0,15.5,0,0,0.0,Late (30–89 days),86,2,Letter Sent,12704.0,1,0,0,0,0,0,0.0,0.13353831782975908,4.4876036274471645,4,3,3,0.23400641689480334,Medium Risk
TCU-00020,Lobatse,LO014,Home Loan,24,Government Employee,20385.0,289800.0,16.43,48,8277.0,11,198415.0,2024-07-13,0.406,850,2,0.5,2,1,586274.0,Current,0,0,,0.0,0,0,0,0,1,1,2.023029675638371,0.40603384841795437,14.216335540838852,2,3,1,0.2459887688660435,Medium Risk
TCU-00021,Maun,LO020,Home Loan,26,Student,3822.0,57200.0,16.36,72,1252.0,4,48562.0,2025-02-22,0.3276,621,0,20.1,0,0,0.0,Current,0,0,,0.0,0,3,0,1,0,0,0.0,0.3275771847200419,14.965986394557824,3,3,5,0.1324424193970181,Low Risk
TCU-00022,Maun,LO007,Vehicle Loan,22,Self-Employed,32287.0,164500.0,15.35,72,3510.0,10,131266.0,2024-08-06,0.1087,850,2,28.8,1,0,0.0,Current,0,0,,0.0,0,0,0,0,0,0,0.0,0.10871248490104377,5.09492984792641,3,5,4,0.18386946775378074,Low Risk
TCU-00023,Maun,LO008,Business Loan,27,Private Sector,9536.0,128300.0,17.97,84,2694.0,15,96780.0,2024-03-15,0.2825,764,2,11.8,0,1,252617.0,Current,0,0,,0.0,0,1,0,0,0,0,1.9689555728760717,0.282508389261745,13.454278523489933,3,1,3,0.12320271224556825,Low Risk
TCU-00024,Francistown,LO017,Vehicle Loan,49,Private Sector,7205.0,128900.0,15.58,84,2529.0,2,119557.0,2025-04-20,0.351,674,4,18.1,2,0,0.0,Current,0,0,,0.0,0,2,0,0,0,0,0.0,0.3510062456627342,17.890353920888273,0,5,3,0.5694382470235884,High Risk
TCU-00025,Francistown,LO016,Vehicle Loan,57,Farmer,6110.0,83200.0,20.37,60,2221.0,1,77233.0,2025-05-11,0.3635,727,0,8.5,0,1,86132.0,Current,0,0,,0.0,0,2,0,0,0,0,1.0352403846153846,0.3635024549918167,13.617021276595745,0,5,0,0.07585286916805037,Low Risk
TCU-00026,Selebi-Phikwe,LO011,Education Loan,26,Farmer,8591.0,102700.0,14.54,84,1955.0,17,80155.0,2024-01-21,0.2276,717,2,11.7,0,1,213709.0,Current,0,0,,0.0,0,2,0,0,0,0,2.0809055501460563,0.22756372948434408,11.954370853218485,4,2,0,0.12389895116350427,Low Risk
TCU-00027,Francistown,LO016,Business Loan,56,Pensioner,5638.0,67700.0,18.87,84,1458.0,4,61809.0,2025-02-18,0.2586,796,4,16.3,2,0,0.0,Late (30–89 days),57,1,Called,19576.0,1,1,0,0,0,0,0.0,0.2586023412557645,12.007804185881518,0,1,2,0.6663913593574745,High Risk
TCU-00028,Selebi-Phikwe,LO011,Business Loan,25,Self-Employed,20369.0,433300.0,12.81,84,7838.0,3,370962.0,2025-03-07,0.3848,696,0,1.1,0,0,0.0,Current,0,0,,0.0,0,2,0,0,1,1,0.0,0.3848004320290638,21.272521969659778,4,1,4,0.1268593067910458,Low Risk
TCU-00029,Gaborone Main,LO008,Business Loan,63,Government Employee,22267.0,123100.0,15.84,12,11160.0,10,18870.0,2024-08-11,0.5012,850,1,28.9,1,0,0.0,Current,0,0,,0.0,0,0,1,0,0,0,0.0,0.5011901019445817,5.528360353886918,1,1,1,0.49525063877319864,High Risk
TCU-00030,Selebi-Phikwe,LO013,Agriculture Loan,41,Pensioner,5190.0,144500.0,12.26,72,2845.0,7,127522.0,2024-11-04,0.5482,747,1,4.1,3,0,0.0,Late (30–89 days),53,1,Letter Sent,28882.0,1,1,1,0,0,0,0.0,0.5481695568400771,27.84200385356455,4,0,2,0.7543827175819153,Critical
TCU-00031,Selebi-Phikwe,LO004,Vehicle Loan,22,Farmer,14529.0,415200.0,19.46,48,12516.0,12,298966.0,2024-06-29,0.8614,791,2,16.4,0,1,848148.0,Current,0,0,,0.0,0,1,1,0,1,0,2.0427456647398845,0.8614495147635763,28.57732810241586,4,5,0,0.2172416191499262,Medium Risk
TCU-00032,Selebi-Phikwe,LO008,Vehicle Loan,27,Self-Employed,24515.0,171500.0,16.16,36,6043.0,12,105545.0,2024-07-05,0.2465,844,0,8.1,0,0,0.0,Current,0,0,,0.0,0,0,0,0,0,0,0.0,0.24650214154599226,6.995716908015501,4,5,4,0.0765349312908949,Low Risk
TCU-00033,Francistown,LO014,Vehicle Loan,34,Government Employee,17438.0,174100.0,19.53,48,5254.0,17,97143.0,2024-01-18,0.3013,814,0,17.7,0,1,265216.0,Current,0,0,,0.0,0,0,0,0,0,0,1.5233543940264216,0.30129602018580115,9.983943112742287,0,5,1,0.08141141141756414,Low Risk
TCU-00034,Maun,LO008,Personal Loan,39,Self-Employed,29966.0,372700.0,23.24,72,9641.0,11,277468.0,2024-07-08,0.3217,850,2,8.7,0,0,0.0,Current,0,0,,0.0,0,0,0,0,1,0,0.0,0.3217312954681973,12.437429086297804,3,4,4,0.09011287942811132,Low Risk
