machine_id,machine_type,site,age_years,cumulative_hours,days_since_maintenance,engine_temp_c,vibration,oil_pressure_psi,fail_prob,risk_level,idle_hours,fuel_cost_bwp,safety_risk
KMS-001,Excavator,Shaft A,13,3020.0,206,73.2,2.84,55.5,9.689293364742314e-07,Low,1.39,5572.35,Low
KMS-002,Excavator,Shaft B,10,2015.8,53,87.9,2.54,63.5,9.689293364742314e-07,Low,0.51,3137.8,Low
KMS-003,Excavator,Shaft B,11,2926.5,183,66.8,2.63,65.7,9.689293364742314e-07,Low,0.72,4686.4,Low
KMS-004,Excavator,Waste Dump,13,3938.0,238,77.6,2.17,57.1,9.689293364742314e-07,Low,0.12,5659.35,Low
KMS-005,Excavator,Waste Dump,13,2542.9,48,81.5,2.62,61.3,9.689293364742314e-07,Low,0.91,3268.3,Low
KMS-006,Excavator,Shaft A,8,3363.7,101,69.6,2.15,69.5,9.689293364742314e-07,Low,0.51,4058.55,Low
KMS-007,Excavator,Shaft A,14,3695.8,36,67.9,2.0,65.1,9.689293364742314e-07,Low,2.02,2859.4,Low
KMS-008,Excavator,Shaft B,11,1935.2,262,81.0,2.22,58.4,9.689293364742314e-07,Low,0.56,4397.85,Low
KMS-009,Excavator,Waste Dump,6,4165.2,237,82.6,1.92,68.3,9.689293364742314e-07,Low,3.09,3011.65,Low
KMS-010,Excavator,Waste Dump,14,1834.5,263,118.5,5.88,50.5,0.9999371344541483,Critical,0.22,5391.1,Critical
KMS-011,Excavator,Waste Dump,11,2068.9,235,70.3,1.8,63.9,9.689293364742314e-07,Low,0.99,3211.75,Low
KMS-012,Excavator,Shaft B,8,1997.2,214,71.8,1.88,70.8,9.689293364742314e-07,Low,0.77,4740.05,Low
KMS-013,Haul Truck,Waste Dump,7,6305.4,260,65.6,1.7,54.9,9.689293364742314e-07,Low,0.44,9059.6,Low
KMS-014,Haul Truck,Shaft A,10,2482.8,1,66.8,1.89,73.7,9.689293364742314e-07,Low,1.18,7031.05,Low
KMS-015,Haul Truck,Processing Plant,12,4034.1,59,73.0,1.9,68.7,9.689293364742314e-07,Low,0.73,6330.7,Low
KMS-016,Haul Truck,Open Pit,9,3751.0,74,67.6,1.52,67.9,9.689293364742314e-07,Low,0.34,7190.55,Low
KMS-017,Haul Truck,Shaft B,12,4066.9,11,71.7,1.6,73.6,9.689293364742314e-07,Low,0.41,4938.7,Low
KMS-018,Haul Truck,Shaft A,9,3391.4,185,76.1,2.24,60.9,9.689293364742314e-07,Low,1.09,5473.75,Low
