date,day_of_week,month,is_weekend,rooms_occupied,occupancy_rate_pct,standard_occupied,deluxe_occupied,suite_occupied,family_occupied,daily_revenue_bwp,avg_room_rate_bwp,staff_on_duty,pricing_multiplier,event_boost
2025-01-01,Wednesday,1,0,58,64.4,26,15,8,10,70656.74,1218.22,8,1.0,1.0
2025-01-02,Thursday,1,0,57,63.3,25,18,5,11,68665.07,1204.65,9,1.0,1.0
2025-01-03,Friday,1,0,53,58.9,24,15,6,8,64499.96,1216.98,8,1.0,1.0
2025-01-04,Saturday,1,1,64,71.1,27,16,7,9,76929.15,1202.02,11,1.1,1.0
2025-01-05,Sunday,1,1,72,80.0,27,20,7,9,83934.48,1165.76,9,1.1,1.0
2025-01-06,Monday,1,0,63,70.0,26,15,7,9,69592.88,1104.65,9,1.0,1.0
2025-01-07,Tuesday,1,0,59,65.6,24,15,5,10,63749.64,1080.5,10,1.0,1.0
2025-01-08,Wednesday,1,0,60,66.7,25,14,4,10,61487.6,1024.79,8,1.0,1.0
2025-01-09,Thursday,1,0,61,67.8,26,17,7,8,67974.23,1114.33,11,1.0,1.0
2025-01-10,Friday,1,0,56,62.2,28,18,8,8,74382.19,1328.25,8,1.0,1.0
2025-01-11,Saturday,1,1,65,72.2,27,17,8,12,87401.09,1344.63,10,1.1,1.0
2025-01-12,Sunday,1,1,67,74.4,31,20,5,9,83130.69,1240.76,12,1.1,1.0
2025-01-13,Monday,1,0,58,64.4,26,17,4,9,64212.13,1107.11,8,1.0,1.0
2025-01-14,Tuesday,1,0,53,58.9,28,16,8,8,73902.2,1394.38,8,1.0,1.0
2025-01-15,Wednesday,1,0,53,58.9,28,18,4,9,68518.57,1292.8,8,1.0,1.0
2025-01-16,Thursday,1,0,57,63.3,25,18,4,7,63046.18,1106.07,10,1.0,1.0
2025-01-17,Friday,1,0,58,64.4,27,15,8,8,71053.41,1225.06,8,1.0,1.0
2025-01-18,Saturday,1,1,65,72.2,29,18,9,10,87637.95,1348.28,9,1.1,1.0
2025-01-19,Sunday,1,1,71,78.9,31,16,5,9,76739.48,1080.84,8,1.1,1.0
2025-01-20,Monday,1,0,59,65.6,28,17,5,11,70625.28,1197.04,8,1.0,1.0
2025-01-21,Tuesday,1,0,59,65.6,25,17,7,7,66305.82,1123.83,8,1.0,1.0
2025-01-22,Wednesday,1,0,53,58.9,24,16,4,8,60633.5,1144.03,8,1.0,1.0
2025-01-23,Thursday,1,0,56,62.2,25,14,8,11,72056.71,1286.73,8,1.0,1.0
2025-01-24,Friday,1,0,59,65.6,25,17,7,8,68502.5,1161.06,9,1.0,1.0
2025-01-25,Saturday,1,1,66,73.3,30,20,8,11,90284.54,1367.95,8,1.1,1.0
2025-01-26,Sunday,1,1,72,80.0,31,16,5,12,82389.7,1144.3,12,1.1,1.0
2025-01-27,Monday,1,0,62,68.9,24,14,5,11,64727.23,1043.99,11,1.0,1.0
2025-01-28,Tuesday,1,0,64,71.1,24,17,8,9,71730.29,1120.79,9,1.0,1.0
2025-01-29,Wednesday,1,0,58,64.4,26,14,8,7,66001.03,1137.95,8,1.0,1.0
2025-01-30,Thursday,1,0,61,67.8,28,16,5,8,65894.2,1080.23,11,1.0,1.0
2025-01-31,Friday,1,0,57,63.3,28,18,4,8,64772.7,1136.36,8,1.0,1.0
2025-02-01,Saturday,2,1,63,70.0,31,18,7,11,86240.98,1368.9,9,1.1,1.0
