date,day_of_week,rooms_occupied,role,optimal_staff,actual_staff,daily_cost_bwp,overstaffed
2025-01-01,Wednesday,58,Front Desk,3,4,1000,0
2025-01-01,Wednesday,58,Housekeeping,5,7,1260,1
2025-01-01,Wednesday,58,Restaurant,4,4,880,0
2025-01-01,Wednesday,58,Maintenance,2,3,600,0
2025-01-01,Wednesday,58,Security,2,2,300,0
2025-01-02,Thursday,57,Front Desk,3,3,750,0
2025-01-02,Thursday,57,Housekeeping,5,5,900,0
2025-01-02,Thursday,57,Restaurant,4,4,880,0
2025-01-02,Thursday,57,Maintenance,2,2,400,0
2025-01-02,Thursday,57,Security,2,2,300,0
2025-01-03,Friday,53,Front Desk,3,5,1250,1
2025-01-03,Friday,53,Housekeeping,5,7,1260,1
2025-01-03,Friday,53,Restaurant,4,4,880,0
2025-01-03,Friday,53,Maintenance,2,2,400,0
2025-01-03,Friday,53,Security,2,2,300,0
2025-01-04,Saturday,64,Front Desk,3,5,1250,1
2025-01-04,Saturday,64,Housekeeping,5,7,1260,1
2025-01-04,Saturday,64,Restaurant,4,6,1320,1
2025-01-04,Saturday,64,Maintenance,2,2,400,0
2025-01-04,Saturday,64,Security,2,4,600,1
2025-01-05,Sunday,72,Front Desk,3,5,1250,1
2025-01-05,Sunday,72,Housekeeping,5,7,1260,1
2025-01-05,Sunday,72,Restaurant,4,6,1320,1
2025-01-05,Sunday,72,Maintenance,2,3,600,0
2025-01-05,Sunday,72,Security,2,2,300,0
2025-01-06,Monday,63,Front Desk,3,3,750,0
2025-01-06,Monday,63,Housekeeping,5,7,1260,1
2025-01-06,Monday,63,Restaurant,4,4,880,0
2025-01-06,Monday,63,Maintenance,2,4,800,1
2025-01-06,Monday,63,Security,2,2,300,0
2025-01-07,Tuesday,59,Front Desk,3,4,1000,0
2025-01-07,Tuesday,59,Housekeeping,5,7,1260,1
2025-01-07,Tuesday,59,Restaurant,4,5,1100,0
2025-01-07,Tuesday,59,Maintenance,2,2,400,0
2025-01-07,Tuesday,59,Security,2,2,300,0
2025-01-08,Wednesday,60,Front Desk,3,5,1250,1
2025-01-08,Wednesday,60,Housekeeping,5,6,1080,0
2025-01-08,Wednesday,60,Restaurant,4,4,880,0
2025-01-08,Wednesday,60,Maintenance,2,4,800,1
2025-01-08,Wednesday,60,Security,2,2,300,0
2025-01-09,Thursday,61,Front Desk,3,3,750,0
2025-01-09,Thursday,61,Housekeeping,5,6,1080,0
2025-01-09,Thursday,61,Restaurant,4,6,1320,1
2025-01-09,Thursday,61,Maintenance,2,2,400,0
2025-01-09,Thursday,61,Security,2,2,300,0
2025-01-10,Friday,56,Front Desk,3,3,750,0
2025-01-10,Friday,56,Housekeeping,5,7,1260,1
2025-01-10,Friday,56,Restaurant,4,4,880,0
2025-01-10,Friday,56,Maintenance,2,3,600,0
2025-01-10,Friday,56,Security,2,2,300,0
2025-01-11,Saturday,65,Front Desk,3,4,1000,0
2025-01-11,Saturday,65,Housekeeping,5,5,900,0
2025-01-11,Saturday,65,Restaurant,4,6,1320,1
2025-01-11,Saturday,65,Maintenance,2,4,800,1
2025-01-11,Saturday,65,Security,2,4,600,1
2025-01-12,Sunday,67,Front Desk,3,4,1000,0
2025-01-12,Sunday,67,Housekeeping,5,7,1260,1
2025-01-12,Sunday,67,Restaurant,4,5,1100,0
2025-01-12,Sunday,67,Maintenance,2,3,600,0
2025-01-12,Sunday,67,Security,2,3,450,0
2025-01-13,Monday,58,Front Desk,3,3,750,0
2025-01-13,Monday,58,Housekeeping,5,5,900,0
2025-01-13,Monday,58,Restaurant,4,5,1100,0
2025-01-13,Monday,58,Maintenance,2,3,600,0
2025-01-13,Monday,58,Security,2,2,300,0
2025-01-14,Tuesday,53,Front Desk,3,5,1250,1
